S.NO,      STATE/UT,2015,2016,2017,2018,2019,average for each state,#rape 2015,#rape 2016,#rape 2017,#rape 2018,#rape 2019,#rape_average for each state,#kidnapping and abduction 2015,#kidnapping and abduction 2016,#kidnapping and abduction 2017,#kidnapping and abduction 2018,#kidnapping and abduction 2019,#kidnapping and abduction_average for each state,#dowry_deaths_2015,#dowry_deaths_2016,#dowry_deaths_2017,#dowry_deaths_2018,#dowry_deaths_2019,#dowry_deaths_average for each state,#Assault On Women With Intent To Outrage Her Modesty _2015,#Assault On Women With Intent To Outrage Her Modesty _2016,#Assault On Women With Intent To Outrage Her Modesty _2017,#Assault On Women With Intent To Outrage Her Modesty _2018,#Assault On Women With Intent To Outrage Her Modesty _2019,#Assault On Women With Intent To Outrage Her Modesty _average for each state,#immoral trafficing_2015,#immoral trafficing_2016,#immoral trafficing_2017,#immoral trafficing_2018,#immoral trafficing_2019,#immoral trafficing_average of state,#Abetment of suicide of women_2015,#Abetment of suicide of women_2016,#Abetment of suicide of women_2017,#Abetment of suicide of women_2018,#Abetment of suicide of women_2019,#Abetment of suicide of women_average for each state,#Cruelty By Husband Or His Relatives_2015,#Cruelty By Husband Or His Relatives_2016,#Cruelty By Husband Or His Relatives_2017,#Cruelty By Husband Or His Relatives_2018,#Cruelty By Husband Or His Relatives_2019,#Cruelty By Husband Or His Relatives_average for each state,"#Dowry Prohibition Act, 1961_2015","#Dowry Prohibition Act, 1961_2016","#Dowry Prohibition Act, 1961_2017","#Dowry Prohibition Act, 1961_2018","#Dowry Prohibition Act, 1961_2019","#Dowry Prohibition Act, 1961_average for each state",#sexual  harassment_2015,#sexual  harassment_2016,#sexual  harassment_2017,#sexual  harassment_2018,#sexual  harassment_2019,#sexual  harassment_average for each state,pov rate(people % below the poverty line 2021-2022),literacy(2021) %,Sex Ratio,HDI,unemployment,Police personnel per lakh of population(Actual),NSDP in Rs(2019),MPI
1,Andhra Pradesh,15931,16362,17909,16438,17746,16877.2,1027,994,988,971,1086,1013.2,684,626,712,697,589,661.6,174,193,152,140,112,154.2,4616,4829,5129,4445,4444,4692.6,204,186,121,152,88,150.2,384,405,597,406,407,439.8,6121,6461,7156,6831,7851,6884,303,592,434,320,472,424.2,1070,1305,84,70,172,540.2,12.3,67,1045,0.649,6.4833,113.68,151173,0.053
2,Arunachal Pradesh,384,367,337,368,317,354.6,71,92,59,67,63,70.4,128,85,74,87,68,88.4,0,1,0,0,1,0.4,101,109,97,103,80,98,2,0,2,0,0,0.8,2,4,4,2,3,3,66,50,56,60,54,57.2,0,0,0,0,0,0,15,4,0,2,0,4.2,34.67,65.4,997,0.661,7.6,830.31,139588,0.115
3,Assam,23258,20869,23082,27728,30025,24992.4,1733,1779,1772,1648,1773,1741,5039,5339,5554,6401,6989,5864.4,216,157,171,173,156,174.6,4293,3378,3569,4180,4619,4007.8,47,65,40,37,12,40.2,0,0,44,76,53,34.6,11225,9321,9782,11136,11943,10681.4,95,234,191,1138,1377,607,499,677,69,106,143,298.8,31.98,72.2,1012,0.613,2.5666,207.49,82078,0.156
4,Bihar,13891,13400,14711,16920,18587,15501.8,1041,1008,605,651,730,807,5158,5496,6182,7951,9025,6762.4,1154,987,1081,1107,1120,1089.8,198,324,197,262,312,258.6,21,50,24,49,40,36.8,0,0,0,4,8,2.4,3792,3794,3776,2539,2397,3259.6,1867,1058,1097,2094,3289,1881,78,124,10,126,135,94.6,33.74,61.8,1090,0.574,12.8083,76.2,43822,0.265
5,Chhattisgarh,5720,5947,7996,8587,7689,7187.8,1560,1626,1908,2091,1036,1644.2,1354,1447,1457,1842,2033,1626.6,89,84,74,79,76,80.4,1868,1770,1899,1854,1316,1741.4,4,17,16,15,12,12.8,141,189,151,121,159,152.2,620,622,582,503,732,611.8,10,19,35,18,7,17.8,507,244,24,65,45,177,39.93,70.3,1015,0.611,3.9166,220.53,96887,0.134
6,Goa,365,371,369,362,329,359.2,86,61,76,61,72,71.2,70,69,61,78,52,66,0,2,1,0,1,0.8,150,143,134,125,119,134.2,3,3,1,7,1,3,3,1,4,2,3,2.6,19,23,21,9,9,16.2,0,0,0,0,0,0,58,41,0,0,0,19.8,3.76,88.7,1027,0.763,16.7666,511.78,458304,0.015
7,Gujarat,7762,8532,8133,8329,8799,8311,503,982,477,553,528,608.6,1569,2146,1259,1024,922,1384,12,12,9,9,9,10.2,1164,1224,1058,1208,1048,1140.4,35,76,28,34,24,39.4,232,270,351,386,344,316.6,4133,3732,3223,2923,3619,3526,36,0,0,2,2,8,536,473,23,127,258,283.4,16.63,78,965,0.672,2.05,122.78,197447,0.084
8,Haryana,9446,9839,11370,14326,14683,11932.8,1070,1187,1099,1296,1480,1226.4,2336,2697,2949,3419,2803,2840.8,243,260,245,216,248,242.4,1886,1860,2031,2671,2581,2205.8,44,59,57,43,28,46.2,122,123,192,205,225,173.4,3525,3313,3326,4154,4867,3837,14,8,21,18,24,17,688,699,75,161,179,360.4,12.3,84.1,926,0.708,28.4475,180.19,236147,0.055
9,Himachal Pradesh,1289,1222,1246,1633,1636,1405.2,244,252,249,344,359,289.6,239,201,242,341,337,272,2,3,3,4,4,3.2,434,410,397,513,498,450.4,6,7,8,10,10,8.2,64,66,55,74,61,64,226,214,191,183,228,208.4,0,1,1,1,1,0.8,99,114,0,0,0,42.6,7.62,82.8,1040,0.725,11.8166,240.52,179188,0.03
10,Jammu & Kashmir,3363,2850,3129,3437,3069,3169.6,296,256,296,320,223,278.2,1071,774,931,1061,893,946,6,6,8,8,8,7.2,1343,1235,1417,1597,1440,1406.4,0,1,0,1,0,0.4,50,65,25,33,26,39.8,400,342,377,325,347,358.2,1,0,1,1,0,0.6,244,253,0,1,0,99.6,10.35,67.2,968,0.688,15.6916,610.25,91882,0.055
11,Jharkhand,6518,5453,5911,7083,8760,6745,1053,1109,914,1090,1416,1116.4,930,693,1033,1018,1008,936.4,267,278,248,252,299,268.8,844,667,748,1378,1646,1056.6,3,0,4,9,4,4,3,3,19,36,51,22.4,1654,1002,998,1032,1426,1222.4,1552,1371,1186,1224,1899,1446.4,531,373,35,12,8,191.8,36.96,66.4,1050,0.598,13.8833,172.18,76019,0.202
12,Karnataka,12705,14131,14078,13514,13828,13651.2,589,1655,546,492,505,757.4,1611,1923,967,1240,1056,1359.4,254,234,206,200,194,217.6,5112,5260,5763,5204,4937,5255.2,420,323,236,179,214,274.4,273,218,234,348,332,281,2732,2556,2332,2053,2472,2429,1541,1698,1567,1568,1745,1623.8,535,703,200,186,128,350.4,13.2,75.4,1034,0.683,2.675,125.95,210887,0.056
13,Kerala,9708,10034,11057,10461,11462,10544.4,1256,1656,2003,1945,2023,1776.6,192,166,184,173,227,188.4,8,25,12,17,8,14,3987,4029,4413,4544,4507,4296,135,113,21,4,10,56.6,25,22,51,37,42,35.4,3668,3455,2856,2046,2970,2999,4,3,9,3,3,4.4,1145,1273,90,95,117,544,0.71,94,1121,0.782,8.825,152.49,204105,0.003
14,Madhya Pradesh,24135,26604,29788,28942,27560,27405.8,4391,4882,5562,5433,2485,4550.6,4547,4904,5200,6126,6091,5373.6,664,629,632,547,550,604.4,8049,8717,9252,8790,5585,8078.6,25,20,27,40,21,26.6,577,565,707,584,599,606.4,5281,6264,6099,4159,5486,5457.8,62,26,44,77,59,53.6,2559,3128,7,36,37,1153.4,31.65,69.3,970,0.603,2.8583,120.02,90998,0.173
15,Maharashtra,31126,31388,31979,35497,37144,33426.8,4144,4189,1933,2142,2299,2941.4,5096,6170,6248,6825,6906,6249,268,248,233,200,196,229,11713,11396,9392,10835,10472,10761.6,381,303,248,200,152,256.8,702,756,951,881,802,818.4,7640,7215,6584,6862,8430,7346.2,42,38,36,36,26,35.6,4751,4057,36,52,94,1798,17.35,82.3,966,0.697,4.3916,174.87,191736,0.065
16,Manipur,266,253,236,271,266,258.4,46,55,40,52,36,45.8,94,95,70,85,84,85.6,0,0,0,0,0,0,84,65,66,56,59,66,0,0,0,0,0,0,0,0,0,3,2,1,39,29,19,14,15,23.2,0,0,0,0,0,0,2,15,3,2,1,4.6,36.89,79.2,1066,0.697,9.5,942.93,69978,0.08
17,Meghalaya,334,372,567,571,558,480.4,93,190,119,87,102,118.2,58,51,54,58,71,58.4,1,0,1,1,3,1.2,95,68,88,95,96,88.4,0,2,0,2,3,1.4,0,0,1,0,0,0.2,44,26,20,18,23,26.2,0,0,1,0,1,0.4,22,20,1,4,6,10.6,32.67,74.4,1039,0.656,2.28,455.56,89024,0.157
18,Mizoram,158,120,301,249,170,199.6,58,23,25,50,42,39.6,8,3,0,1,2,2.8,0,0,0,0,0,0,75,71,64,67,35,62.4,0,3,0,0,0,0.6,0,0,0,0,0,0,9,19,20,6,5,11.8,0,0,0,0,0,0,53,44,8,3,2,22,9.8,91.3,1018,0.704,NA,674.54,168626,0.046
19,Nagaland,90,105,79,75,43,78.4,35,26,10,10,8,17.8,30,50,7,35,13,27,0,1,0,0,0,0.2,8,14,12,10,8,10.4,3,0,3,1,0,1.4,0,0,0,0,0,0,4,3,3,3,0,2.6,0,0,0,0,0,0,6,6,1,0,0,2.6,25.23,79.6,1007,0.679,19.3,1300.93,116882,0.117
20,Odisha,17144,17837,20098,20274,23183,19707.2,2251,1983,2070,918,1382,1720.8,2587,2291,2773,2611,3934,2839.2,356,397,326,372,342,358.6,6499,8252,9132,9973,11308,9032.8,35,38,21,10,19,24.6,1,5,18,9,9,8.4,3605,2781,2525,1984,2739,2726.8,1201,1400,2316,1595,243,1351,886,979,3,10,4,376.4,32.59,72.9,1063,0.605,2.4166,129.31,95164,0.136
21,Punjab,5291,5105,4620,5302,5886,5240.8,886,838,530,831,1002,817.4,1253,1208,1099,1266,1534,1272,85,80,68,67,69,73.8,1123,1025,933,956,944,996.2,69,64,7,6,9,31,126,170,172,174,176,163.6,1583,1568,1199,1470,1595,1483,8,5,4,5,3,5,400,325,1,1,5,146.4,5.59,75.8,938,0.724,7.675,268.5,154996,0.024
22,Rajasthan,28165,27422,25993,27866,41550,30199.2,3644,3656,3305,4335,5997,4187.4,4167,4010,3838,4247,5907,4433.8,463,462,457,404,452,447.6,4813,4839,4883,5249,8802,5717.2,86,56,86,62,40,66,161,167,153,153,186,164,14383,13811,11508,12250,18432,14076.8,9,3,1,5,4,4.4,649,483,19,16,20,237.4,29.46,66.1,1099,0.628,23.95,122.36,110606,0.14
23,Sikkim,53,153,163,172,125,133.2,5,92,17,16,11,28.2,21,12,27,7,0,13.4,1,0,0,1,0,0.4,21,34,21,23,21,24,0,0,0,0,0,0,0,0,0,0,1,0.2,2,2,5,1,1,2.2,0,0,0,0,0,0,5,8,4,2,1,4,3.82,81.4,990,0.717,6.47,851.27,357643,0.016
24,Tamil Nadu,5847,4463,5397,5822,5934,5492.6,421,319,283,331,362,343.2,1335,1043,859,896,699,966.4,65,58,48,55,28,50.8,1163,854,744,814,803,875.6,491,432,403,386,349,412.2,79,122,220,244,236,180.2,1900,1256,984,789,781,1142,333,295,225,206,237,259.2,197,115,90,135,141,135.6,4.89,80.1,1088,0.709,7.1166,148.54,204488,0.02
25,Telangana,15135,15374,17521,16027,18394,16490.2,1105,1278,552,606,873,882.8,648,987,934,1121,1322,1002.4,262,254,251,186,163,223.2,3608,3767,4409,4567,4190,4108.2,252,240,79,81,22,134.8,590,560,501,445,400,499.2,7329,7202,7838,6286,8541,7439.2,2,4,11,12,6,7,620,859,200,74,55,361.6,13.74,66.54,1049,0.669,4.4416,130.88,193750,0.059
26,Tripura,1267,1013,972,907,1070,1045.8,213,207,95,97,88,140,120,119,90,139,138,121.2,28,19,33,18,38,27.2,352,214,225,165,153,221.8,2,0,0,2,0,0.8,7,5,15,14,9,10,501,430,348,303,451,406.6,0,0,0,0,0,0,28,52,0,2,2,16.8,16.65,87.2,1011,0.658,10.48,568.06,113102,0.075
27,Uttar Pradesh,35527,49262,56011,59445,59853,52019.6,3025,4816,4246,3946,3065,3819.6,10135,12994,14993,15381,11649,13030.4,2335,2473,2524,2444,2410,2437.2,7885,11335,12607,12555,11988,11274,33,50,25,27,22,31.4,251,286,280,284,359,292,8660,11156,12653,14233,18304,13001.2,2766,2867,2938,4371,3833,3355,5925,9422,84,81,45,3111.4,29.43,67.7,1017,0.594,5.125,133.85,66512,0.18
28,Uttarakhand,1453,1588,1944,2817,2541,2068.6,283,336,374,561,526,416,336,377,371,502,375,392.2,54,57,60,63,57,58.2,318,344,435,548,475,424,18,11,6,0,3,7.6,1,16,20,20,22,15.8,407,392,394,622,644,491.8,12,27,50,104,26,43.8,51,35,0,4,15,21,17.72,78.8,1016,0.683,4.475,188.16,198738,0.079
29,West Bengal,33218,32513,30992,30394,30394,31502.2,1199,1110,1084,1069,1069,1106.2,3938,4494,4232,4249,4249,4232.4,498,535,499,444,444,484,5069,4177,3832,3399,3399,3975.2,101,87,67,97,97,89.8,233,420,443,445,445,397.2,20163,19302,16800,16951,16951,18033.4,4,0,0,7,7,3.6,674,663,165,201,201,380.8,14.88,76.3,1049,0.641,9.0916,100.53,109491,0.097
30,A & N Islands,136,108,132,147,135,131.6,36,30,13,30,13,24.4,21,21,3,2,0,9.4,0,0,1,0,0,0.2,57,46,38,35,25,40.2,0,0,0,0,0,0,1,0,0,2,0,0.6,14,7,4,4,1,6,0,0,0,0,0,0,23,15,3,2,4,9.4,1,86.6,963,0.741,NA,1080.9,204254,0.017
31,Chandigarh,463,414,453,442,515,457.4,72,68,65,86,112,80.6,165,112,138,139,129,136.6,5,4,1,6,6,4.4,76,76,100,100,66,83.6,0,0,0,0,0,0,3,7,8,3,1,4.4,126,122,121,93,177,127.8,0,1,0,1,1,0.6,22,26,2,0,0,10,21.81,86,917,0.776,7.89,649.62,329209,0.026
34,Delhi UT,17104,15310,13076,13640,13395,14505,2199,2155,1229,1215,1253,1610.2,4301,3891,3783,3715,3672,3872.4,122,162,120,153,116,134.6,5367,4165,2874,2705,2355,3493.2,3,4,6,1,4,3.6,29,20,59,44,48,40,3521,3877,2735,3416,3792,3468.2,20,18,11,15,26,18,1150,796,35,70,43,418.8,9.91,86.2,913,0.746,15.0666,410.26,365529,0.021
35,Lakshadweep,9,9,6,11,38,14.6,0,5,0,2,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1.4,0,0,0,0,0,0,0,0,0,3,4,1.4,2.77,91.8,1187,0.751,NA,392.65,NA,0.007
37,Puducherry,80,95,147,166,95,116.6,3,6,7,0,10,5.2,14,11,9,14,0,9.6,1,0,2,0,0,0.6,33,43,33,60,23,38.4,1,0,0,4,0,1,0,1,5,1,0,1.4,4,15,5,8,8,8,12,15,10,5,6,9.6,10,13,16,0,0,7.8,9.69,85.8,1112,0.74,11.375,225.28,220461,0.007
average for each year,,9627.67647058824,9967.20588235294,10582.4411764706,11124.2058823529,11934.6764705882,,1018.76470588235,1144.73529411765,957.382352941177,980.764705882353,942.029411764706,,1742.79411764706,1897.20588235294,1950.97058823529,2139.73529411765,2140.5,,224.5,224.147058823529,219.588235294118,210.764705882353,209.117647058824,,2423.82352941176,2492.38235294118,2529.17647058824,2620.17647058824,2598.79411764706,,71.2941176470588,65,45.1764705882353,42.9117647058824,34.8235294117647,,119.411764705882,131.352941176471,155.294117647059,148.117647058824,147.323529411765,,3335.23529411765,3246,3074.76470588235,3037.26470588235,3685.02941176471,,291,284.794117647059,299.676470588235,377.235294117647,391.088235294118,,707,804.235294117647,37.8823529411765,48.5,54.8529411764706,,,,,,,,,
